FIPS_CODE,Weekly_Wage,Total_Wages,Establishment_Count,Employment_Level
22117,164.26521984216461,1833156387.0,7,65
72000,390.43505494505496,217733409055.0,190,3563
34031,548.0943193997856,68022985643.0,57,750
13019,124.50716845878136,585845950.0,4,36
C1698,813.36117731172544,1666754012851.0,1166,14204
C1086,913.25,946810658.0,986,19934
54075,127.1563829787234,457806907.0,5,35
C3314,271.29861711322383,9746095138.0,18,235
48365,198.6360294117647,3236520682.0,6,93
26131,138.25611413043478,238566733.0,4,24
C1366,690.0,438933444.0,688,12220
CS340,793.5,15745254977.0,25492,381459
47095,123.53211805555556,206569393.0,3,29
C4140,637.0,1010151765.0,2204,30493
C1734,648.25,498580020.0,2712,14808
54059,200.58281733746131,2692499628.0,7,81
05103,158.68326947637291,1383739301.0,7,58
40053,147.97720994475139,318709562.0,3,20
C2910,165.04960784313727,14917775393.0,22,339
CS194,708.0,6462927791.0,9509,175566
55061,150.69119669876204,1736265248.0,6,60
15003,582.32032418952622,173390211524.0,110,1908
06111,622.42810378273521,129766449186.0,104,1281
C3802,738.75,620860482.0,1546,NA
47155,260.98189655172416,7995935607.0,18,263
49031,71.083841463414629,24348433.0,2,6
C4722,289.55778588807783,14636418233.0,21,307
40049,201.04617834394904,2552583624.0,8,77
40113,256.76258064516128,1731332775.0,6,62
CS294,869.25,48955549550.0,54713,1083327
20019,86.716876971608826,106765005.0,3,13
08117,302.86625615763546,4710011189.0,18,139
48371,203.61456752655539,1494071256.0,5,52
17189,175.54428807947019,1221241784.0,6,52
42105,135.54930124223603,1113234071.0,6,46
CS370,889.5,112953602416.0,226484,2440172
17109,141.03369434416365,1957863559.0,7,78
08019,175.93692022263451,675214384.0,5,29
42005,223.4820333041192,4330319098.0,11,104
CS280,663.25,5395330323.0,8482,156386
C1618,288.4786839666358,6163703586.0,16,137
17165,179.81202770780857,2036456478.0,6,69
17187,146.71304347826086,1087164654.0,6,63
37149,154.457182320442,861185571.0,6,43
42069,346.2832519829164,27909038133.0,31,470
47177,185.59935897435898,2597790355.0,8,88
49053,317.44282511210764,12086928932.0,26,258
34999,791.74506578947364,65445778991.0,105,423
42087,185.47609561752989,3510808171.0,9,105
36047,588.37975013014056,180504373548.0,256,2411
17087,116.82481751824818,335393406.0,4,25
C1306,875.75,465306599.0,828,10220
47117,145.30921052631578,1312289554.0,6,56
39059,231.0867924528302,3524424252.0,7,94
35029,138.0539811066127,1514597696.0,6,62
C4286,825.25,939768529.0,1461,21901
C2070,279.78092783505156,12570415828.0,24,286
31171,111.51973684210526,25256062.0,2,5
26109,138.806258790436,1374063536.0,6,62
C3286,695.75,589188664.0,960,16276
C3398,569.75,654384074.0,2106,22096
08075,208.77991452991452,1724228959.0,7,64
CS304,741.25,7248381464.0,10102,188011
29186,145.94579172610557,1183514420.0,5,45
C4174,773.59932024169188,545477125938.0,437,5096
39075,163.57554296506137,4095092209.0,9,123
48041,364.61402946828957,21474573642.0,23,383
26153,137.89871541501975,476639014.0,4,27
47131,208.05688448074679,2041945579.0,6,73
30009,170.61632947976878,549361212.0,5,26
C1978,329.92479066985646,106188483514.0,101,1311
18039,360.40022639068565,38380525378.0,27,623
19099,183.80217391304348,2515982873.0,8,82
C3686,738.75,2175105981.0,3956,56653
20191,172.62919708029196,1344457247.0,7,60
42027,333.1183853459973,16290652273.0,20,287
37167,196.58340929808568,4149348312.0,11,122
13145,158.25335570469798,723888899.0,6,43
17067,148.8221393034826,754787331.0,7,41
C2858,707.25,1375456645.0,4331,37396
54041,199.05651197604791,2160901398.0,6,69
40011,162.50043630017453,521332927.0,5,28
36061,1127.732473710566,2132949391513.0,558,10251
32005,308.49277210884355,4968476136.0,13,106
37159,268.75122979620522,13037207871.0,16,239
C2250,175.61254612546125,18037377680.0,26,366
C4434,610.0,729942807.0,1507,23011
13107,131.87094499294781,1058650937.0,6,53
37113,198.54458598726114,2270684762.0,10,80
51800,239.29847359735973,7954558474.0,12,151
41053,224.55721747388415,3390665195.0,14,105
C1242,441.01819126819129,277687633875.0,219,2700
45055,203.41878172588832,3379721528.0,10,103
C2810,234.47940931780366,10131143015.0,18,234
CS512,715.0,3394756437.0,5700,91265
36027,465.27479851208926,41802519558.0,46,550
15009,359.01968503937007,22814291426.0,33,387
13085,178.4013986013986,1228255861.0,8,70
C3318,595.25,267502524.0,621,8637
